Name,Augmented Reality Quests on Meta Quest 3
Description,"Twelve mixed-reality games for Meta Quest 3 with three real challenges per app. Solve puzzles on your kitchen table, drum through full songs, race campaign tracks across your living room floor, build dungeons over your real furniture, and follow a story that turns your room into a working spaceship."
Publisher,Chief Clanker
Grade Level,Any
Link,https://lessonhollow.com/discover/augmented-reality-quests-meta-quest-3

Title,Description,Action,URL
Complete your first Puzzling Places puzzle,Pick a small-piece-count diorama and finish the whole thing in mixed reality so the completed scene sits in your room.,Do,
Complete a second Puzzling Places puzzle,Choose a different scene and finish it from start to end to build confidence with placing and rotating pieces.,Do,
Complete a larger Puzzling Places puzzle,Move up to a higher piece count than your first two puzzles and finish the full diorama.,Do,
Complete your first Cubism puzzle in mixed reality,Place the puzzle on a real surface and solve it from start to finish so you see how the blocks behave in your room.,Do,
Complete five different Cubism puzzles,Work through five puzzles to get comfortable with the increasing complexity of the shape-fitting challenges.,Do,
Complete a Cubism puzzle from Volume 2,Tackle one of the 30 advanced puzzles in Volume 2 where the difficulty and solve time jump significantly above Volume 1.,Do,
Complete a beginner song in PianoVision,Pick a Level 0 to Level 3 song and play it all the way through with the mixed-reality overlays guiding your fingers.,Do,
Complete a Level 4 or higher PianoVision song at full tempo,Move up to a Level 4 or harder song and finish it at the intended tempo without slowing it down.,Do,
Complete a PianoVision song with 95 percent accuracy or higher,Replay any song you have learned and finish with 95 percent or higher accuracy so the performance feels clean.,Do,
Complete your first Track Craft campaign race,Pick a track from World 1 and race it to the finish line in your room.,Do,
Complete every campaign track in Track Craft World 1,Work through every track in the first world to unlock the next set of mechanics and cars.,Do,
Earn three stars on a Track Craft campaign race,Go back to any completed track and nail a 3-star run by hitting the time and performance targets.,Do,
Win your first 8-ball match in MiRacle Pool,Place the table in your room and play a full 8-ball match against the AI until one of you clears and sinks the 8.,Do,
Win a 9-ball match against the AI in MiRacle Pool,Switch to 9-ball rules and win a complete match so you experience a different style of play.,Do,
Complete a MiRacle Pool daily challenge,Open the daily challenge and finish it in the single attempt you get since daily challenges test specific shot-making skills.,Do,
Clear your first Toy Monsters level,Place your defenses on a real surface and survive every wave in the first level.,Do,
Defeat the World 1 boss in Toy Monsters,Fight through the World 1 levels until you reach and defeat the boss that unlocks the next world.,Do,
Clear a Toy Monsters level in World 2,Take on a World 2 level where new enemy types and tougher waves change the defensive strategy.,Do,
Complete your first Smash Drums song on Normal difficulty,Pick a song and play it all the way through on Normal so you experience a full drumming run in your room.,Do,
Complete a Smash Drums song on Hard difficulty,Step up to Hard difficulty on any song and finish the entire track from start to end.,Do,
Achieve a full combo on a Smash Drums song,Play any song on any difficulty and hit every single note without breaking your combo streak.,Do,
Complete your first 10-minute Hitstream journey,Pick a 10-minute beginner journey and finish the full routine from start to end.,Do,
Complete a 20-minute Hitstream journey,Move up to a 20-minute journey and complete the entire workout without quitting.,Do,
Unlock a Hitstream bonus track by hitting 90 percent accuracy,Replay any routine and hit 90 percent or more of the targets to unlock the bonus track for that journey.,Do,
Complete the first Spatial Ops campaign mission,Set up a safe play area and finish the first mission with all objectives completed.,Do,
Complete the full 7-mission Spatial Ops campaign,Play through all seven campaign missions to reach the story ending.,Do,
Complete a Spatial Ops campaign mission on Hard difficulty,Replay any mission on Hard difficulty where enemies and objectives are tougher.,Do,
Build and clear a Dungeon Maker dungeon with at least one enemy,Generate a dungeon over your real floors with enemies placed inside and fight your way through to the end.,Do,
Build and clear a Dungeon Maker dungeon that uses keys and locked doors,Design a dungeon that requires finding keys to unlock doors and navigate it yourself from entrance to exit.,Do,
Build and clear a Dungeon Maker dungeon with enemies traps and multiple quest objectives,Build the most complex dungeon you can with combat encounters traps and quest items and then complete every objective you set.,Do,
Complete your first CoasterMania campaign level,Pick a campaign level and collect all the rings with your track while returning the coaster to the station.,Do,
Complete 10 CoasterMania campaign levels,Work through 10 campaign levels across any combination of the four themed worlds.,Do,
Complete every campaign level in one CoasterMania themed world,Finish every level in one themed world such as Medieval Western Atlantis or Sci-Fi to fully master that set of challenges.,Do,
Complete the first planet and heal the first dreamer plant in Starship Home,Let your room transform into the ship and complete the first planet's dream sequence to heal the first plant.,Do,
Complete four planets in Starship Home,Work through four of the eight planets so you are halfway through the interstellar story.,Do,
Complete the full 8-planet Starship Home story,Finish all eight missions across all eight planets and reach the narrative conclusion.,Do,
